animal_type,category,suburb,date_range
Dog,Defecating In Public,GRANGE,january march 2016
Dog,Defecating In Public,CHAPEL HILL,january march 2016
Dog,Too Many Animals,CHAPEL HILL,january march 2016
Attack,Attack On An Animal,FERNY GROVE,january march 2016
Dog,Too Many Animals,HEMMANT,january march 2016
Attack,Attack On An Animal,JAMBOREE HEIGHTS,january march 2016
Attack,Not An Attack,MANLY WEST,january march 2016
Cat,Fox,MOUNT GRAVATT EAST,january march 2016
Dog,Unregistered,ANNERLEY,january march 2016
Other Animal,Fox,INDOOROOPILLY,january march 2016
Attack,Fox,ALGESTER,january march 2016
Other Animal,Fencing Issues,AUCHENFLOWER,january march 2016
Other Animal,Odour,ELLEN GROVE,january march 2016
Dog,Unregistered,BRACKEN RIDGE,january march 2016
Dog,Unregistered,BRACKEN RIDGE,january march 2016
Dog,Unregistered,BRACKEN RIDGE,january march 2016
Dog,Defecating In Public,WEST END,january march 2016
Other Animal,Nuisance Animal,SUNNYBANK HILLS,january march 2016
Dog,Fencing Issues,MURARRIE,january march 2016
Attack,Dangerous,LOTA,january march 2016
Attack,Attack On A Person,GREENSLOPES,january march 2016
Dog,Fencing Issues,ELLEN GROVE,january march 2016
Other Animal,Deer,PULLENVALE,january march 2016
Dog,Too Many Animals,KEPERRA,january march 2016
Dog,Defecating In Public,CARINA,january march 2016
Dog,Unregistered,BRACKEN RIDGE,january march 2016
Dog,Unregistered,BRACKEN RIDGE,january march 2016
Dog,Too Many Animals,RIVERHILLS,january march 2016
Attack,Fox,KARANA DOWNS,january march 2016
Other Animal,Defecating In Public,NORMAN PARK,january march 2016
Other Animal,Fox,WAKERLEY,january march 2016
Dog,Fencing Issues,CAMP HILL,january march 2016
Other Animal,Fox,RED HILL,january march 2016
Dog,Fox,KEPERRA,january march 2016
Other Animal,Nuisance Animal,DURACK,january march 2016
Attack,Menacing,FOREST LAKE,january march 2016
Dog,Too Many Animals,CHERMSIDE WEST,january march 2016
Dog,Fencing Issues,CHERMSIDE WEST,january march 2016
Dog,Fencing Issues,DEAGON,january march 2016
Attack,Attack On A Person,CHAPEL HILL,january march 2016
Attack,Attack On A Person,CHERMSIDE WEST,january march 2016
Attack,Fox,ACACIA RIDGE,january march 2016
Attack,Not An Attack,SUNNYBANK HILLS,january march 2016
Attack,Attack On A Person,MORNINGSIDE,january march 2016
Cat Trapping,Fox,WOOLLOONGABBA,january march 2016
Cat,Fox,THE GAP,january march 2016
Dog,Too Many Animals,HOLLAND PARK,january march 2016
Attack,Attack On An Animal,BRIGHTON,january march 2016
Other Animal,Nuisance Animal,SUNNYBANK HILLS,january march 2016
Dog,Fencing Issues,MOUNT GRAVATT EAST,january march 2016
Dog,Fencing Issues,KEPERRA,january march 2016
Other Animal,Fox,MORNINGSIDE,january march 2016
Dog,Too Many Animals,KEPERRA,january march 2016
Attack,Attack On A Person,KEPERRA,january march 2016
Attack,Attack On An Animal,STRETTON,january march 2016
Cat,Fox,HIGHGATE HILL,january march 2016
Dog,Fencing Issues,ENOGGERA,january march 2016
Attack,Attack On An Animal,KEPERRA,january march 2016
Attack,Attack On A Person,MITCHELTON,january march 2016
Other Animal,Too Many Animals,FOREST LAKE,january march 2016
Dog,Defecating In Public,WEST END,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Other Animal,Fox,MOUNT GRAVATT EAST,january march 2016
Attack,Attack On An Animal,HOLLAND PARK,january march 2016
Attack,Not An Attack,MANLY,january march 2016
Attack,Attack On A Person,PADDINGTON,january march 2016
Other Animal,Too Many Animals,LOTA,january march 2016
Cat Trapping,Fox,CALAMVALE,january march 2016
Dog,Odour,ENOGGERA,january march 2016
Other Animal,Fencing Issues,TENNYSON,january march 2016
Attack,Not An Attack,CARSELDINE,january march 2016
Attack,Menacing,TOOWONG,january march 2016
Dog,Defecating In Public,BRIDGEMAN DOWNS,january march 2016
Cat Trapping,Fox,MANSFIELD,january march 2016
Attack,Attack On An Animal,CALAMVALE,january march 2016
Attack,Attack On An Animal,"NATHAN",january march 2016
Attack,Menacing,NEW FARM,january march 2016
Dog,Too Many Animals,KEPERRA,january march 2016
Dog,Too Many Animals,WYNNUM,january march 2016
Other Animal,Pest / Feral Animal,HAMILTON,january march 2016
Dog,Too Many Animals,WYNNUM,january march 2016
Attack,Attack On An Animal,MORNINGSIDE,january march 2016
Attack,Attack On An Animal,UPPER MOUNT GRAVATT,january march 2016
Other Animal,Deer,PULLENVALE,january march 2016
Dog,Fencing Issues,FOREST LAKE,january march 2016
Dog,Fencing Issues,FOREST LAKE,january march 2016
Attack,Attack On A Person,GREENSLOPES,january march 2016
Dog,Fencing Issues,MANLY WEST,january march 2016
Cat Trapping,Fox,MOUNT GRAVATT EAST,january march 2016
Dog,Defecating In Public,MANLY WEST,january march 2016
Attack,Attack On An Animal,FITZGIBBON,january march 2016
Dog,Fencing Issues,UPPER MOUNT GRAVATT,january march 2016
Attack,Attack On A Person,NORMAN PARK,january march 2016
Dog,Too Many Animals,BARDON,january march 2016
Attack,Not An Attack,CALAMVALE,january march 2016
Dog,Fencing Issues,MOOROOKA,january march 2016
Attack,Attack On An Animal,BALD HILLS,january march 2016
Attack,Fox,COOPERS PLAINS,january march 2016
Cat Trapping,Fox,MOOROOKA,january march 2016
Attack,Fox,RUNCORN,january march 2016
Dog,Fox,UPPER MOUNT GRAVATT,january march 2016
Cat Trapping,Fox,CARINDALE,january march 2016
Attack,Attack On A Person,WACOL,january march 2016
Attack,Menacing,STAFFORD,january march 2016
Cat Trapping,Fox,ROBERTSON,january march 2016
Dog,Fencing Issues,BRIGHTON,january march 2016
Cat Trapping,Fox,INALA,january march 2016
Other Animal,Deer,BRISBANE CITY,january march 2016
Dog,Fencing Issues,HIGHGATE HILL,january march 2016
Other Animal,Fox,ROCHEDALE,january march 2016
Attack,Attack On An Animal,WYNNUM,january march 2016
Attack,Not An Attack,BALMORAL,january march 2016
Dog,Defecating In Public,TARRAGINDI,january march 2016
Other Animal,Nuisance Animal,HOLLAND PARK,january march 2016
Attack,Attack On An Animal,CANNON HILL,january march 2016
Attack,Attack On An Animal,SEVEN HILLS,january march 2016
Dog,Defecating In Public,MILTON,january march 2016
Dog,Fencing Issues,MOOROOKA,january march 2016
Dog,Too Many Animals,MCDOWALL,january march 2016
Dog,Fencing Issues,NUNDAH,january march 2016
Dog,Fencing Issues,ALGESTER,january march 2016
Attack,Dangerous,SALISBURY,january march 2016
Attack,Attack On An Animal,THE GAP,january march 2016
Dog,Fencing Issues,DUTTON PARK,january march 2016
Dog,Fencing Issues,DUTTON PARK,january march 2016
Attack,Menacing,ENOGGERA,january march 2016
Attack,Not An Attack,JINDALEE,january march 2016
Cat,Fox,BOONDALL,january march 2016
Attack,Attack On A Person,ALDERLEY,january march 2016
Dog,Too Many Animals,HAWTHORNE,january march 2016
Dog,Defecating In Public,WEST END,january march 2016
Attack,Attack On An Animal,SINNAMON PARK,january march 2016
Dog,Fencing Issues,CHAPEL HILL,january march 2016
Dog,Fencing Issues,GORDON PARK,january march 2016
Dog,Fencing Issues,BRACKEN RIDGE,january march 2016
Dog,Fencing Issues,BRACKEN RIDGE,january march 2016
Cat Trapping,Fox,SUNNYBANK,january march 2016
Attack,Fox,BRACKEN RIDGE,january march 2016
Cat Trapping,Fox,BRACKEN RIDGE,january march 2016
Other Animal,Fox,GUMDALE,january march 2016
