animal_type,category,suburb,date_range
Attack,Fox,INALA,apr jun 2019
Dog,Wandering,BOONDALL,apr jun 2019
Dog,Fencing Issues,MOUNT GRAVATT EAST,apr jun 2019
Dog,Wandering,RUNCORN,apr jun 2019
Attack,Fox,SANDGATE,apr jun 2019
Other Animal,Wild Dog,RIVERHILLS,apr jun 2019
Dog,Unregistered,BELLBOWRIE,apr jun 2019
Cat,Wandering,KARANA DOWNS,apr jun 2019
Cat,Wandering,MOOROOKA,apr jun 2019
Cat Trapping,Fox,ST LUCIA,apr jun 2019
Dog,Wandering,PADDINGTON,apr jun 2019
Dog,Too Many Animals,KALINGA,apr jun 2019
Attack,Attack On A Person,NEW FARM,apr jun 2019
Dog,Wandering,ALDERLEY,apr jun 2019
Dog,Wandering,KEPERRA,apr jun 2019
Attack,Attack On A Person,BRACKEN RIDGE,apr jun 2019
Attack,Fox,MOOROOKA,apr jun 2019
Dog,Fencing Issues,ROCHEDALE,apr jun 2019
Dog,Fencing Issues,KARANA DOWNS,apr jun 2019
Attack,Attack On An Animal,MOOROOKA,apr jun 2019
Dog,Wandering,YERONGA,apr jun 2019
Dog,Wandering,YERONGA,apr jun 2019
Dog,Wandering,YERONGA,apr jun 2019
Dog,Wandering,YERONGA,apr jun 2019
Attack,Attack On An Animal,MORNINGSIDE,apr jun 2019
Dog,Wandering,FOREST LAKE,apr jun 2019
Attack,Fox,SHERWOOD,apr jun 2019
Dog,Wandering,ANNERLEY,apr jun 2019
Cat,Wandering,BRACKEN RIDGE,apr jun 2019
Dog,Unregistered,CARSELDINE,apr jun 2019
Attack,Fox,EVERTON PARK,apr jun 2019
Dog,Fencing Issues,FOREST LAKE,apr jun 2019
Cat,Wandering,CARINDALE,apr jun 2019
Cat,Wandering,DARRA,apr jun 2019
Cat Trapping,Fox,DARRA,apr jun 2019
Attack,Menacing,KARANA DOWNS,apr jun 2019
Other Animal,Odour,FOREST LAKE,apr jun 2019
Dog,Fencing Issues,ZILLMERE,apr jun 2019
Dog,Wandering,BULIMBA,apr jun 2019
Cat,Wandering,HOLLAND PARK WEST,apr jun 2019
Attack,Attack On A Person,NORTHGATE,apr jun 2019
Dog,Wandering,CARINA,apr jun 2019
Dog,Wandering,ACACIA RIDGE,apr jun 2019
Dog,Too Many Animals,AUCHENFLOWER,apr jun 2019
Other Animal,Wild Dog,UPPER BROOKFIELD,apr jun 2019
Cat Trapping,Fox,SALISBURY,apr jun 2019
Dog,Wandering,FIG TREE POCKET,apr jun 2019
Dog,Fencing Issues,MIDDLE PARK,apr jun 2019
Dog,Wandering,WINDSOR,apr jun 2019
Cat,Wandering,BARDON,apr jun 2019
Dog,Fencing Issues,ROBERTSON,apr jun 2019
Other Animal,Unregistered,DARRA,apr jun 2019
Other Animal,Fox,MOGGILL,apr jun 2019
Dog,Wandering,KEPERRA,apr jun 2019
Cat,Wandering,FOREST LAKE,apr jun 2019
Cat,Wandering,KEPERRA,apr jun 2019
Other Animal,Deer,PULLENVALE,apr jun 2019
Attack,Fox,KARANA DOWNS,apr jun 2019
Dog,Fencing Issues,MOOROOKA,apr jun 2019
Dog,Wandering,YERONGA,apr jun 2019
Dog,Wandering,GRACEVILLE,apr jun 2019
Cat Trapping,Fox,MCDOWALL,apr jun 2019
Dog,Fox,UPPER MOUNT GRAVATT,apr jun 2019
Dog,Wandering,MOUNT GRAVATT EAST,apr jun 2019
Attack,Fox,GRACEVILLE,apr jun 2019
Attack,Attack On An Animal,ALDERLEY,apr jun 2019
Dog,Wandering,MOOROOKA,apr jun 2019
Attack,Not An Attack,NUDGEE BEACH,apr jun 2019
Attack,Attack On A Person,STAFFORD,apr jun 2019
Dog,Unregistered,NORMAN PARK,apr jun 2019
Dog,Too Many Animals,NORMAN PARK,apr jun 2019
Dog,Fencing Issues,CARINDALE,apr jun 2019
Dog,Odour,HIGHGATE HILL,apr jun 2019
Attack,Attack On An Animal,BRACKEN RIDGE,apr jun 2019
Cat Trapping,Fox,ST LUCIA,apr jun 2019
Dog,Fencing Issues,DEAGON,apr jun 2019
Dog,Wandering,STRETTON,apr jun 2019
Attack,Attack On An Animal,ANSTEAD,apr jun 2019
Dog,Fencing Issues,MITCHELTON,apr jun 2019
Dog,Wandering,HEMMANT,apr jun 2019
Cat,Wandering,HOLLAND PARK WEST,apr jun 2019
Attack,Attack On An Animal,PULLENVALE,apr jun 2019
Other Animal,Fox,TOOWONG,apr jun 2019
Dog,Wandering,MOGGILL,apr jun 2019
Other Animal,Nuisance Animal,UPPER MOUNT GRAVATT,apr jun 2019
Dog,Odour,WOOLLOONGABBA,apr jun 2019
Attack,Menacing,COORPAROO,apr jun 2019
Other Animal,Fencing Issues,KENMORE,apr jun 2019
Attack,Menacing,KEDRON,apr jun 2019
Other Animal,Wandering,BARDON,apr jun 2019
Other Animal,Wild Dog,WACOL,apr jun 2019
Dog,Fencing Issues,MOOROOKA,apr jun 2019
Cat Trapping,Fox,BRISBANE CITY,apr jun 2019
Attack,Fox,BOWEN HILLS,apr jun 2019
Other Animal,Fox,CHERMSIDE WEST,apr jun 2019
Dog,Unregistered,FOREST LAKE,apr jun 2019
Attack,Menacing,FIG TREE POCKET,apr jun 2019
Dog,Wandering,NUNDAH,apr jun 2019
Other Animal,Fox,LOTA,apr jun 2019
Dog,Fencing Issues,ELLEN GROVE,apr jun 2019
Dog,Unregistered,ELLEN GROVE,apr jun 2019
Attack,Attack On An Animal,BRACKEN RIDGE,apr jun 2019
Dog,Wandering,WEST END,apr jun 2019
Dog,Wandering,WEST END,apr jun 2019
Cat Trapping,Fox,BRACKEN RIDGE,apr jun 2019
Cat,Wandering,WYNNUM WEST,apr jun 2019
Dog,Fencing Issues,NORMAN PARK,apr jun 2019
Dog,Fencing Issues,INALA,apr jun 2019
Dog,Too Many Animals,INALA,apr jun 2019
Other Animal,Fencing Issues,INALA,apr jun 2019
Attack,Attack On An Animal,SANDGATE,apr jun 2019
Dog,Fencing Issues,STRETTON,apr jun 2019
Dog,Fencing Issues,STRETTON,apr jun 2019
Dog,Fencing Issues,STRETTON,apr jun 2019
Cat,Wandering,COORPAROO,apr jun 2019
Attack,Fox,MITCHELTON,apr jun 2019
Cat,Wandering,SPRING HILL,apr jun 2019
Cat Trapping,Fox,BRACKEN RIDGE,apr jun 2019
Cat Trapping,Fox,SUNNYBANK,apr jun 2019
Other Animal,Too Many Animals,ELLEN GROVE,apr jun 2019
Other Animal,Deer,PULLENVALE,apr jun 2019
Attack,Fox,KEPERRA,apr jun 2019
Attack,Menacing,CARINA,apr jun 2019
Attack,Fox,ACACIA RIDGE,apr jun 2019
Other Animal,Fox,SEVEN HILLS,apr jun 2019
Other Animal,Deer,PULLENVALE,apr jun 2019
Other Animal,Odour,TARRAGINDI,apr jun 2019
Attack,Fox,MANLY WEST,apr jun 2019
Attack,Attack On A Person,CHERMSIDE,apr jun 2019
Cat,Wandering,MOGGILL,apr jun 2019
Dog,Wandering,WYNNUM WEST,apr jun 2019
Dog,Fencing Issues,COORPAROO,apr jun 2019
Cat Trapping,Fox,CALAMVALE,apr jun 2019
Attack,Attack On An Animal,BANYO,apr jun 2019
Dog,Wandering,ASHGROVE,apr jun 2019
Other Animal,Fox,PULLENVALE,apr jun 2019
Cat,Wandering,ALBION,apr jun 2019
Cat Trapping,Fox,KENMORE,apr jun 2019
Other Animal,Nuisance Animal,CANNON HILL,apr jun 2019
Other Animal,Deer,PULLENVALE,apr jun 2019
Dog,Defecating In Public,FORTITUDE VALLEY,apr jun 2019
Cat Trapping,Fox,ACACIA RIDGE,apr jun 2019
Attack,Menacing,CAMP HILL,apr jun 2019
Attack,Menacing,CAMP HILL,apr jun 2019
Other Animal,Fox,GUMDALE,apr jun 2019
Cat,Wandering,HEATHWOOD,apr jun 2019
Cat,Wandering,TARINGA,apr jun 2019
Dog,Odour,ASPLEY,apr jun 2019
Cat Trapping,Fox,MOOROOKA,apr jun 2019
Attack,Attack On An Animal,EVERTON PARK,apr jun 2019
Attack,Menacing,ZILLMERE,apr jun 2019
Cat,Wandering,ZILLMERE,apr jun 2019
Cat,Wandering,WAVELL HEIGHTS,apr jun 2019
Attack,Not An Attack,KEPERRA,apr jun 2019
Cat,Wandering,STAFFORD HEIGHTS,apr jun 2019
Other Animal,Fox,BRIDGEMAN DOWNS,apr jun 2019
Other Animal,Fox,BRIDGEMAN DOWNS,apr jun 2019
Dog,Wandering,SPRING HILL,apr jun 2019
Attack,Attack On A Person,PULLENVALE,apr jun 2019
Other Animal,Fox,GEEBUNG,apr jun 2019
Dog,Fencing Issues,MANLY WEST,apr jun 2019
Dog,Fencing Issues,INALA,apr jun 2019
Attack,Attack On An Animal,CAMP HILL,apr jun 2019
Dog,Fencing Issues,UPPER MOUNT GRAVATT,apr jun 2019
Cat Trapping,Fox,HEATHWOOD,apr jun 2019
Other Animal,Nuisance Animal,DURACK,apr jun 2019
Dog,Unregistered,STAFFORD HEIGHTS,apr jun 2019
Attack,Attack On An Animal,MOUNT GRAVATT EAST,apr jun 2019
Dog,Defecating In Public,ASPLEY,apr jun 2019
Cat,Wandering,HOLLAND PARK WEST,apr jun 2019
Attack,Not An Attack,CLAYFIELD,apr jun 2019
Dog,Fencing Issues,BELMONT,apr jun 2019
Attack,Fox,CHERMSIDE,apr jun 2019
Attack,Attack On A Person,MANSFIELD,apr jun 2019
Dog,Wandering,ROCKLEA,apr jun 2019
Dog,Fencing Issues,STAFFORD HEIGHTS,apr jun 2019
Dog,Wandering,WOOLOOWIN,apr jun 2019
Dog,Unregistered,KARANA DOWNS,apr jun 2019
Cat,Wandering,HOLLAND PARK WEST,apr jun 2019
Attack,Attack On A Person,ANNERLEY,apr jun 2019
Other Animal,Deer,PULLENVALE,apr jun 2019
Cat Trapping,Fox,WYNNUM WEST,apr jun 2019
Cat Trapping,Fox,BRACKEN RIDGE,apr jun 2019
Dog,Wandering,NEW FARM,apr jun 2019
Attack,Attack On An Animal,BRACKEN RIDGE,apr jun 2019
Dog,Defecating In Public,SUNNYBANK HILLS,apr jun 2019
Attack,Not An Attack,RUNCORN,apr jun 2019
Cat,Wandering,HOLLAND PARK WEST,apr jun 2019
Dog,Fencing Issues,BANYO,apr jun 2019
Dog,Fencing Issues,ROBERTSON,apr jun 2019
Cat Trapping,Fox,FITZGIBBON,apr jun 2019
Cat,Wandering,NORTHGATE,apr jun 2019
Attack,Attack On A Person,MANLY,apr jun 2019
Dog,Fencing Issues,DREWVALE,apr jun 2019
Attack,Fox,GORDON PARK,apr jun 2019
Attack,Attack On A Person,NEW FARM,apr jun 2019
Attack,Attack On A Person,MITCHELTON,apr jun 2019
Attack,Attack On An Animal,NUDGEE BEACH,apr jun 2019
Dog,Insufficient Space,SALISBURY,apr jun 2019
Dog,Wandering,CARINA,apr jun 2019
Other Animal,Fox,KEDRON,apr jun 2019
Cat,Wandering,FOREST LAKE,apr jun 2019
Other Animal,Odour,ASCOT,apr jun 2019
Attack,Attack On A Person,CANNON HILL,apr jun 2019
Dog,Fencing Issues,NORTHGATE,apr jun 2019
Attack,Attack On A Person,ELLEN GROVE,apr jun 2019
Dog,Fencing Issues,KENMORE HILLS,apr jun 2019
Other Animal,Fox,RIVERHILLS,apr jun 2019
Cat,Wandering,UPPER MOUNT GRAVATT,apr jun 2019
Other Animal,Unregistered,MORNINGSIDE,apr jun 2018
Other Animal,Fox,GUMDALE,apr jun 2018
Cat,Fox,CARSELDINE,apr jun 2018
Dog,Fencing Issues,ZILLMERE,apr jun 2018
Dog,Odour,CAMP HILL,apr jun 2018
Dog,Fox,ELLEN GROVE,apr jun 2018
Attack,Attack On An Animal,ALGESTER,apr jun 2018
Attack,Attack On An Animal,FIG TREE POCKET,apr jun 2018
Other Animal,Fox,GUMDALE,apr jun 2018
Attack,Attack On An Animal,CLAYFIELD,apr jun 2018
Other Animal,Wild Dog,MOGGILL,apr jun 2018
Dog,Fencing Issues,TOOWONG,apr jun 2018
Dog,Fencing Issues,MOUNT GRAVATT EAST,apr jun 2018
Dog,Unregistered,WYNNUM,apr jun 2018
Attack,Not An Attack,MOUNT GRAVATT EAST,apr jun 2018
Attack,Menacing,SUNNYBANK HILLS,apr jun 2018
Attack,Not An Attack,WYNNUM,apr jun 2018
Dog,Fencing Issues,NEWMARKET,apr jun 2018
Dog,Fencing Issues,WINDSOR,apr jun 2018
Other Animal,Fox,PINJARRA HILLS,apr jun 2018
Dog,Fox,HOLLAND PARK WEST,apr jun 2018
Dog,Fencing Issues,DARRA,apr jun 2018
Attack,Fox,WYNNUM,apr jun 2018
Other Animal,Nuisance Animal,TENERIFFE,apr jun 2018
Cat,Fox,MOUNT GRAVATT EAST,apr jun 2018
Dog,Fencing Issues,EVERTON PARK,apr jun 2018
Dog,Fencing Issues,ELLEN GROVE,apr jun 2018
Other Animal,Deer,KENMORE HILLS,apr jun 2018
Cat,Fox,CLAYFIELD,apr jun 2018
Cat,Fox,BRACKEN RIDGE,apr jun 2018
Attack,Attack On An Animal,SALISBURY,apr jun 2018
Other Animal,Wild Dog,THE GAP,apr jun 2018
Cat Trapping,Fox,BOONDALL,apr jun 2018
Dog,Fencing Issues,WOOLOOWIN,apr jun 2018
Attack,Attack On An Animal,FERNY GROVE,apr jun 2018
Dog,Fencing Issues,KARANA DOWNS,apr jun 2018
Dog,Fencing Issues,KURABY,apr jun 2018
Attack,Menacing,EVERTON PARK,apr jun 2018
Attack,Attack On An Animal,HAMILTON,apr jun 2018
Cat Trapping,Fox,COOPERS PLAINS,apr jun 2018
Dog,Fencing Issues,SANDGATE,apr jun 2018
Attack,Not An Attack,DARRA,apr jun 2018
Attack,Attack On An Animal,GORDON PARK,apr jun 2018
Dog,Fencing Issues,CARINA,apr jun 2018
Cat,Fox,BARDON,apr jun 2018
Cat,Fox,CHERMSIDE,apr jun 2018
Cat Trapping,Fox,CHERMSIDE,apr jun 2018
Attack,Attack On A Person,BELLBOWRIE,apr jun 2018
Attack,Not An Attack,BELLBOWRIE,apr jun 2018
Other Animal,Fox,ROCHEDALE,apr jun 2018
Dog,Unregistered,ACACIA RIDGE,apr jun 2018
Attack,Attack On An Animal,BULIMBA,apr jun 2018
Other Animal,Pest / Feral Animal,FORTITUDE VALLEY,apr jun 2018
Attack,Menacing,ACACIA RIDGE,apr jun 2018
Other Animal,Nuisance Animal,DARRA,apr jun 2018
Attack,Attack On An Animal,YERONGA,apr jun 2018
Dog,Fencing Issues,INALA,apr jun 2018
Dog,Unregistered,WYNNUM,apr jun 2018
Dog,Fencing Issues,INALA,apr jun 2018
Cat,Fox,ASCOT,apr jun 2018
Attack,Not An Attack,ELLEN GROVE,apr jun 2018
Dog,Fencing Issues,GORDON PARK,apr jun 2018
Attack,Menacing,MOOROOKA,apr jun 2018
Other Animal,Rabbit,RICHLANDS,apr jun 2018
Attack,Attack On A Person,BELLBOWRIE,apr jun 2018
Other Animal,Wild Dog,UPPER BROOKFIELD,apr jun 2018
Attack,Attack On An Animal,FITZGIBBON,apr jun 2018
Dog,Fencing Issues,COORPAROO,apr jun 2018
Attack,Attack On A Person,NUNDAH,apr jun 2018
Dog,Defecating In Public,BRIDGEMAN DOWNS,apr jun 2018
Dog,Fencing Issues,GRACEVILLE,apr jun 2018
Other Animal,Fox,CARINA,apr jun 2018
Attack,Attack On An Animal,COORPAROO,apr jun 2018
Attack,Attack On A Person,MANSFIELD,apr jun 2018
Attack,Not An Attack,CARINA,apr jun 2018
Attack,Not An Attack,MORNINGSIDE,apr jun 2018
Other Animal,Fox,CARINDALE,apr jun 2018
Cat Trapping,Fox,BELMONT,apr jun 2018
Other Animal,Fox,SEVEN HILLS,apr jun 2018
Dog,Fencing Issues,MITCHELTON,apr jun 2018
Dog,Fencing Issues,KANGAROO POINT,apr jun 2018
Attack,Attack On An Animal,FOREST LAKE,apr jun 2018
Attack,Attack On A Person,BALD HILLS,apr jun 2018
Dog,Fencing Issues,CALAMVALE,apr jun 2018
Dog,Fencing Issues,CALAMVALE,apr jun 2018
Attack,Attack On An Animal,MOOROOKA,apr jun 2018
Other Animal,Nuisance Animal,DEAGON,apr jun 2018
Attack,Attack On A Person,STAFFORD HEIGHTS,apr jun 2018
Cat Trapping,Fox,EIGHT MILE PLAINS,apr jun 2018
Dog,Insufficient Space,THE GAP,apr jun 2018
Dog,Fencing Issues,THE GAP,apr jun 2018
Cat Trapping,Fox,SINNAMON PARK,apr jun 2018
Attack,Not An Attack,CAMP HILL,apr jun 2018
Attack,Attack On A Person,WAVELL HEIGHTS,apr jun 2018
Other Animal,Fox,MANLY WEST,apr jun 2018
Attack,Not An Attack,SUNNYBANK HILLS,apr jun 2018
Dog,Fox,BOONDALL,apr jun 2018
Dog,Fencing Issues,ROCKLEA,apr jun 2018
Dog,Fencing Issues,ROCKLEA,apr jun 2018
Other Animal,Insufficient Space,COOPERS PLAINS,apr jun 2018
Attack,Menacing,ALGESTER,apr jun 2018
Dog,Defecating In Public,WYNNUM WEST,apr jun 2018
Dog,Unregistered,COOPERS PLAINS,apr jun 2018
Attack,Attack On A Person,ALGESTER,apr jun 2018
Dog,Odour,SUNNYBANK HILLS,apr jun 2018
Other Animal,Nuisance Animal,CHERMSIDE,apr jun 2018
Dog,Odour,BRACKEN RIDGE,apr jun 2018
Attack,Attack On An Animal,ASPLEY,apr jun 2018
Dog,Too Many Animals,MANLY WEST,apr jun 2018
Cat,Fox,WEST END,apr jun 2018
Dog,Unregistered,ACACIA RIDGE,apr jun 2018
Dog,Fencing Issues,GEEBUNG,apr jun 2018
Other Animal,Fox,ANNERLEY,apr jun 2018
Cat Trapping,Fox,WYNNUM WEST,apr jun 2018
Dog,Fencing Issues,FITZGIBBON,apr jun 2018
Dog,Fencing Issues,ASCOT,apr jun 2018
Other Animal,Fox,CHELMER,apr jun 2018
Cat,Fox,BRIGHTON,apr jun 2018
Attack,Attack On A Person,ASPLEY,apr jun 2018
Attack,Attack On An Animal,HOLLAND PARK,apr jun 2018
Dog,Fencing Issues,CALAMVALE,apr jun 2018
Cat Trapping,Fox,CARINA,apr jun 2018
Other Animal,Fox,BALD HILLS,apr jun 2018
Other Animal,Nuisance Animal,INALA,apr jun 2018
Dog,Fencing Issues,SUNNYBANK HILLS,apr jun 2018
Other Animal,Fox,UPPER BROOKFIELD,apr jun 2018
Cat Trapping,Fox,WEST END,apr jun 2018
Dog,Unregistered,CAMP HILL,apr jun 2018
Other Animal,Fox,ST LUCIA,apr jun 2018
Other Animal,Fox,KARANA DOWNS,apr jun 2018
Cat,Fox,MANSFIELD,apr jun 2018
Attack,Attack On An Animal,GREENSLOPES,apr jun 2018
Attack,Attack On An Animal,BALD HILLS,apr jun 2018
Dog,Fox,MOUNT GRAVATT,apr jun 2018
Attack,Attack On A Person,KALINGA,apr jun 2018
Other Animal,Fox,WYNNUM WEST,apr jun 2018
Cat,Fox,WYNNUM,apr jun 2018
Attack,Menacing,BROOKFIELD,apr jun 2018
Dog,Defecating In Public,FOREST LAKE,apr jun 2018
Other Animal,Fox,RANSOME,apr jun 2018
Attack,Attack On An Animal,FOREST LAKE,apr jun 2018
Cat,Fox,HOLLAND PARK,apr jun 2018
Attack,Not An Attack,INALA,apr jun 2018
Other Animal,Too Many Animals,INALA,apr jun 2018
Dog,Fencing Issues,UPPER KEDRON,apr jun 2018
Other Animal,Nuisance Animal,CHERMSIDE,apr jun 2018
Cat,Fox,GRANGE,apr jun 2018
Attack,Attack On An Animal,MANLY,apr jun 2018
Other Animal,Fox,YERONGA,apr jun 2018
Other Animal,Deer,WILLAWONG,apr jun 2018
Attack,Not An Attack,MOGGILL,apr jun 2018
Dog,Fencing Issues,SUNNYBANK HILLS,apr jun 2018
Dog,Fencing Issues,SUNNYBANK HILLS,apr jun 2018
Attack,Attack On A Person,DEAGON,apr jun 2018
Dog,Fencing Issues,STAFFORD,apr jun 2018
Cat,Fox,EAST BRISBANE,apr jun 2018
Dog,Fencing Issues,WYNNUM,apr jun 2018
Dog,Fencing Issues,CARSELDINE,apr jun 2018
Dog,Defecating In Public,NA,apr jun 2018
Dog,Fencing Issues,MORNINGSIDE,apr jun 2018
Dog,Fencing Issues,MANLY WEST,apr jun 2018
Dog,Fencing Issues,MOUNT GRAVATT EAST,apr jun 2018
Dog,Defecating In Public,CARSELDINE,apr jun 2018
Attack,Attack On An Animal,WACOL,apr jun 2018
Cat,Fox,KEDRON,apr jun 2018
Attack,Attack On An Animal,RUNCORN,apr jun 2018
Attack,Menacing,MIDDLE PARK,apr jun 2018
Dog,Fencing Issues,STAFFORD HEIGHTS,apr jun 2018
Dog,Unregistered,YERONGA,apr jun 2018
Attack,Not An Attack,WYNNUM WEST,apr jun 2018
Attack,Attack On An Animal,HEMMANT,apr jun 2018
Dog,Fencing Issues,BRIGHTON,apr jun 2018
Other Animal,Nuisance Animal,THE GAP,apr jun 2018
Dog,Fencing Issues,WAVELL HEIGHTS,apr jun 2018
Dog,Too Many Animals,WOOLLOONGABBA,apr jun 2018
Attack,Attack On An Animal,BELLBOWRIE,apr jun 2018
Dog,Odour,WAVELL HEIGHTS,apr jun 2018
Dog,Unregistered,SUNNYBANK,apr jun 2018
Other Animal,Fox,RICHLANDS,apr jun 2018
Attack,Not An Attack,SEVEN HILLS,apr jun 2018
Attack,Attack On A Person,KENMORE HILLS,apr jun 2018
Cat Trapping,Fox,MIDDLE PARK,apr jun 2018
Dog,Defecating In Public,NA,apr jun 2018
Attack,Fox,FOREST LAKE,apr jun 2018
Attack,Attack On An Animal,BARDON,apr jun 2018
Attack,Attack On An Animal,ACACIA RIDGE,apr jun 2018
Attack,Attack On An Animal,HOLLAND PARK,apr jun 2018
Cat Trapping,Fox,MANLY WEST,apr jun 2018
Other Animal,Deer,JINDALEE,apr jun 2018
Cat,Fox,WYNNUM,apr jun 2018
Other Animal,Fox,RANSOME,apr jun 2018
Other Animal,Fox,KEPERRA,apr jun 2018
Attack,Not An Attack,INALA,apr jun 2018
Other Animal,Insufficient Space,FITZGIBBON,apr jun 2018
Cat Trapping,Fox,INALA,apr jun 2018
Cat,Fox,NORTHGATE,apr jun 2018
Dog,Unregistered,CALAMVALE,apr jun 2018
Other Animal,Fox,UPPER BROOKFIELD,apr jun 2018
Dog,Fencing Issues,VIRGINIA,apr jun 2018
Attack,Menacing,JAMBOREE HEIGHTS,apr jun 2018
Dog,Too Many Animals,MITCHELTON,apr jun 2018
Dog,Fencing Issues,VIRGINIA,apr jun 2018
Cat Trapping,Fox,CHERMSIDE WEST,apr jun 2018
Attack,Menacing,BALMORAL,apr jun 2018
Dog,Too Many Animals,BALD HILLS,apr jun 2018
Other Animal,Odour,WYNNUM,apr jun 2018
Other Animal,Deer,PULLENVALE,apr jun 2018
Dog,Fencing Issues,FITZGIBBON,apr jun 2018
Cat,Fox,GRANGE,apr jun 2018
Attack,Fox,MILTON,apr jun 2018
Other Animal,Fencing Issues,BANYO,apr jun 2018
Other Animal,Nuisance Animal,MITCHELTON,apr jun 2018
Other Animal,Deer,PULLENVALE,apr jun 2018
Cat Trapping,Fox,WYNNUM WEST,apr jun 2018
Attack,Attack On A Person,BURBANK,apr jun 2018
Attack,Attack On A Person,BOONDALL,apr jun 2018
Dog,Too Many Animals,BALD HILLS,apr jun 2018
Dog,Too Many Animals,BALD HILLS,apr jun 2018
Cat Trapping,Fox,BANYO,apr jun 2018
Dog,Odour,WYNNUM WEST,apr jun 2018
Cat,Fox,TARRAGINDI,apr jun 2018
Attack,Attack On A Person,EVERTON PARK,apr jun 2018
Attack,Not An Attack,FITZGIBBON,apr jun 2018
Attack,Attack On A Person,THE GAP,apr jun 2018
Attack,Menacing,CARINA HEIGHTS,apr jun 2018
Cat,Fox,UPPER KEDRON,apr jun 2018
Cat Trapping,Fox,SUNNYBANK HILLS,apr jun 2018
Cat,Fox,NORTHGATE,apr jun 2018
Other Animal,Too Many Animals,GEEBUNG,apr jun 2018
Cat Trapping,Fox,HENDRA,apr jun 2018
Other Animal,Fox,FOREST LAKE,apr jun 2018
Other Animal,Fox,MOGGILL,apr jun 2018
Dog,Defecating In Public,WILSTON,apr jun 2018
Attack,Fox,ELLEN GROVE,apr jun 2018
Dog,Fencing Issues,CHERMSIDE,apr jun 2018
Other Animal,Fox,RUNCORN,apr jun 2018
Cat Trapping,Fox,OXLEY,apr jun 2018
Dog,Fencing Issues,INALA,apr jun 2018
Other Animal,Fencing Issues,ALGESTER,apr jun 2018
Dog,Fencing Issues,MILTON,apr jun 2018
Dog,Fencing Issues,ZILLMERE,apr jun 2018
Attack,Not An Attack,WESTLAKE,apr jun 2018
Attack,Attack On A Person,BELMONT,apr jun 2018
Other Animal,Fencing Issues,ALGESTER,apr jun 2018
Cat,Fox,NORTHGATE,apr jun 2018
Attack,Menacing,EVERTON PARK,apr jun 2018
Cat,Fox,ACACIA RIDGE,apr jun 2018
Attack,Attack On A Person,SEVENTEEN MILE ROCKS,apr jun 2018
Dog,Fencing Issues,CHERMSIDE,apr jun 2018
Other Animal,Deer,PULLENVALE,apr jun 2018
Attack,Menacing,MORNINGSIDE,apr jun 2018
Cat,Fox,JINDALEE,apr jun 2018
Other Animal,Nuisance Animal,BANYO,apr jun 2018
Dog,Fencing Issues,CARINA HEIGHTS,apr jun 2018
Dog,Fencing Issues,ZILLMERE,apr jun 2018
Attack,Attack On A Person,GREENSLOPES,apr jun 2018
Dog,Odour,HOLLAND PARK,apr jun 2018
Other Animal,Fox,ANSTEAD,apr jun 2018
Cat,Fox,ELLEN GROVE,apr jun 2018
Other Animal,Fox,DEAGON,apr jun 2018
Dog,Fencing Issues,ZILLMERE,apr jun 2018
Cat,Wandering,SUNNYBANK HILLS,apr jun 2018
Dog,Fencing Issues,UPPER MOUNT GRAVATT,apr jun 2018
Dog,Unregistered,YERONGA,apr jun 2018
Dog,Fencing Issues,YERONGA,apr jun 2018
Attack,Menacing,TENNYSON,apr jun 2018
Dog,Fencing Issues,EVERTON PARK,apr jun 2018
Dog,Fencing Issues,EVERTON PARK,apr jun 2018
Dog,Fox,DARRA,apr jun 2018
Dog,Fencing Issues,DARRA,apr jun 2018
Attack,Attack On An Animal,GEEBUNG,apr jun 2018
Cat Trapping,Fox,ASCOT,apr jun 2018
Other Animal,Nuisance Animal,CHAPEL HILL,apr jun 2018
Cat,Fox,FERNY GROVE,apr jun 2018
Other Animal,Fox,WAKERLEY,apr jun 2018
Dog,Fencing Issues,UPPER MOUNT GRAVATT,apr jun 2018
Attack,Attack On An Animal,BRIGHTON,apr jun 2018
Dog,Defecating In Public,BRACKEN RIDGE,apr jun 2018
Dog,Fencing Issues,BRACKEN RIDGE,apr jun 2018
Attack,Not An Attack,ELLEN GROVE,apr jun 2018
Attack,Not An Attack,CAMP HILL,apr jun 2018
Dog,Fencing Issues,MILTON,apr jun 2018
Cat Trapping,Fox,MOUNT GRAVATT,apr jun 2018
Attack,Attack On An Animal,HAMILTON,apr jun 2018
Dog,Fencing Issues,STAFFORD,apr jun 2018
Dog,Fencing Issues,HOLLAND PARK,apr jun 2018
Other Animal,Nuisance Animal,WYNNUM,apr jun 2018
Attack,Attack On An Animal,KENMORE,apr jun 2018
Attack,Attack On An Animal,ZILLMERE,apr jun 2018
Dog,Unregistered,KURABY,apr jun 2018
Attack,Attack On An Animal,RED HILL,apr jun 2018
Dog,Defecating In Public,WYNNUM,apr jun 2018
Other Animal,Nuisance Animal,FOREST LAKE,apr jun 2018
Cat Trapping,Fox,COOPERS PLAINS,apr jun 2018
Attack,Attack On A Person,WISHART,apr jun 2018
Dog,Fencing Issues,GAYTHORNE,apr jun 2018
Attack,Not An Attack,INALA,apr jun 2018
Dog,Fencing Issues,MOUNT GRAVATT EAST,apr jun 2018
Dog,Fencing Issues,TARRAGINDI,apr jun 2018
Attack,Not An Attack,STAFFORD HEIGHTS,apr jun 2018
