animal_type,category,suburb,total
Dog,Defecating In Public,LUTWYCHE,2
Dog,Defecating In Public,MACGREGOR,3
Dog,Defecating In Public,MANLY,11
Dog,Defecating In Public,MANLY WEST,8
Dog,Defecating In Public,MANSFIELD,5
Dog,Defecating In Public,MCDOWALL,8
Dog,Defecating In Public,MIDDLE PARK,5
Dog,Defecating In Public,MILTON,8
Dog,Defecating In Public,MITCHELTON,7
Dog,Defecating In Public,MOOROOKA,10
Dog,Defecating In Public,MORNINGSIDE,9
Dog,Defecating In Public,MOUNT COOT-THA,3
Dog,Defecating In Public,MOUNT GRAVATT,6
Dog,Defecating In Public,MOUNT GRAVATT EAST,11
Dog,Defecating In Public,MURARRIE,4
Dog,Defecating In Public,"NATHAN",3
Dog,Defecating In Public,NEW FARM,13
Dog,Defecating In Public,NEWMARKET,8
Dog,Defecating In Public,NEWSTEAD,6
Dog,Defecating In Public,NORMAN PARK,7
Dog,Defecating In Public,NORTHGATE,6
Dog,Defecating In Public,NUDGEE,5
Dog,Defecating In Public,NUDGEE BEACH,7
Dog,Defecating In Public,NUNDAH,6
Dog,Defecating In Public,OXLEY,8
Dog,Defecating In Public,PADDINGTON,9
Dog,Defecating In Public,PALLARA,1
Dog,Defecating In Public,PARKINSON,6
Dog,Defecating In Public,PETRIE TERRACE,3
Dog,Defecating In Public,PULLENVALE,1
Dog,Defecating In Public,RED HILL,5
Dog,Defecating In Public,RICHLANDS,1
Dog,Defecating In Public,RIVERHILLS,4
Dog,Defecating In Public,ROBERTSON,5
Dog,Defecating In Public,ROCHEDALE,2
Dog,Defecating In Public,ROCKLEA,1
Dog,Defecating In Public,RUNCORN,6
Dog,Defecating In Public,SALISBURY,4
Dog,Defecating In Public,SANDGATE,10
Dog,Defecating In Public,SEVEN HILLS,3
Dog,Defecating In Public,SEVENTEEN MILE ROCKS,3
Dog,Defecating In Public,SHERWOOD,3
Dog,Defecating In Public,SHORNCLIFFE,1
Dog,Defecating In Public,SINNAMON PARK,1
Dog,Defecating In Public,SOUTH BRISBANE,3
Dog,Defecating In Public,SPRING HILL,2
Dog,Defecating In Public,ST LUCIA,2
Dog,Defecating In Public,STAFFORD,9
Dog,Defecating In Public,STAFFORD HEIGHTS,7
Dog,Defecating In Public,STRETTON,7
Dog,Defecating In Public,SUNNYBANK,10
Dog,Defecating In Public,SUNNYBANK HILLS,13
Dog,Defecating In Public,TAIGUM,7
Dog,Defecating In Public,TARINGA,4
Dog,Defecating In Public,TARRAGINDI,7
Dog,Defecating In Public,TENERIFFE,5
Dog,Defecating In Public,THE GAP,10
Dog,Defecating In Public,TINGALPA,4
Dog,Defecating In Public,TOOWONG,16
Dog,Defecating In Public,UPPER KEDRON,3
Dog,Defecating In Public,UPPER MOUNT GRAVATT,7
Dog,Defecating In Public,VIRGINIA,1
Dog,Defecating In Public,WACOL,1
Dog,Defecating In Public,WAKERLEY,2
Dog,Defecating In Public,WAVELL HEIGHTS,7
Dog,Defecating In Public,WEST END,21
Dog,Defecating In Public,WESTLAKE,1
Dog,Defecating In Public,WILSTON,6
Dog,Defecating In Public,WINDSOR,1
Dog,Defecating In Public,WISHART,4
Dog,Defecating In Public,WOOLLOONGABBA,6
Dog,Defecating In Public,WOOLOOWIN,2
Dog,Defecating In Public,WYNNUM,15
Dog,Defecating In Public,WYNNUM WEST,5
Dog,Defecating In Public,YERONGA,17
Dog,Defecating In Public,ZILLMERE,4
Dog,Defecating In Public,NA,9
Dog,Dog,FAIRFIELD,1
Dog,Dog,FOREST LAKE,1
Dog,Dog,GAYTHORNE,1
Dog,Dog,KENMORE,1
Dog,Fencing Issues,ACACIA RIDGE,96
Dog,Fencing Issues,ALBION,7
Dog,Fencing Issues,ALDERLEY,17
Dog,Fencing Issues,ALGESTER,28
Dog,Fencing Issues,ANNERLEY,23
Dog,Fencing Issues,ANSTEAD,13
Dog,Fencing Issues,ARCHERFIELD,2
Dog,Fencing Issues,ASCOT,26
Dog,Fencing Issues,ASHGROVE,41
Dog,Fencing Issues,ASPLEY,58
Dog,Fencing Issues,AUCHENFLOWER,13
Dog,Fencing Issues,BALD HILLS,54
Dog,Fencing Issues,BALMORAL,10
Dog,Fencing Issues,BANYO,57
Dog,Fencing Issues,BARDON,37
Dog,Fencing Issues,BELLBOWRIE,18
Dog,Fencing Issues,BELMONT,16
Dog,Fencing Issues,BOONDALL,47
Dog,Fencing Issues,BOWEN HILLS,4
Dog,Fencing Issues,BRACKEN RIDGE,102
Dog,Fencing Issues,BRIDGEMAN DOWNS,37
Dog,Fencing Issues,BRIGHTON,71
Dog,Fencing Issues,BRISBANE CITY,4
Dog,Fencing Issues,BROOKFIELD,18
Dog,Fencing Issues,BULIMBA,36
Dog,Fencing Issues,BULWER,2
Dog,Fencing Issues,BURBANK,16
Dog,Fencing Issues,CALAMVALE,57
Dog,Fencing Issues,CAMP HILL,47
Dog,Fencing Issues,CANNON HILL,34
Dog,Fencing Issues,CARINA,73
Dog,Fencing Issues,CARINA HEIGHTS,53
Dog,Fencing Issues,CARINDALE,36
Dog,Fencing Issues,CARSELDINE,39
Dog,Fencing Issues,CHANDLER,14
Dog,Fencing Issues,CHAPEL HILL,38
Dog,Fencing Issues,CHELMER,4
Dog,Fencing Issues,CHERMSIDE,49
Dog,Fencing Issues,CHERMSIDE WEST,31
Dog,Fencing Issues,CLAYFIELD,7
Dog,Fencing Issues,COOPERS PLAINS,26
Dog,Fencing Issues,COORPAROO,33
Dog,Fencing Issues,CORINDA,13
Dog,Fencing Issues,DARRA,88
Dog,Fencing Issues,DEAGON,39
Dog,Fencing Issues,DOOLANDELLA,19
Dog,Fencing Issues,DREWVALE,12
Dog,Fencing Issues,DURACK,42
Dog,Fencing Issues,DUTTON PARK,19
Dog,Fencing Issues,EAGLE FARM,1
Dog,Fencing Issues,EAST BRISBANE,15
Dog,Fencing Issues,EIGHT MILE PLAINS,21
Dog,Fencing Issues,ELLEN GROVE,85
Dog,Fencing Issues,ENOGGERA,17
Dog,Fencing Issues,EVERTON PARK,46
Dog,Fencing Issues,FAIRFIELD,16
Dog,Fencing Issues,FERNY GROVE,24
Dog,Fencing Issues,FIG TREE POCKET,18
Dog,Fencing Issues,FITZGIBBON,28
Dog,Fencing Issues,FOREST LAKE,72
Dog,Fencing Issues,GAYTHORNE,19
Dog,Fencing Issues,GEEBUNG,33
Dog,Fencing Issues,GORDON PARK,15
Dog,Fencing Issues,GRACEVILLE,32
Dog,Fencing Issues,GRANGE,8
Dog,Fencing Issues,GREENSLOPES,31
Dog,Fencing Issues,GUMDALE,4
Dog,Fencing Issues,HAMILTON,7
Dog,Fencing Issues,HAWTHORNE,21
Dog,Fencing Issues,HEATHWOOD,12
Dog,Fencing Issues,HEMMANT,25
Dog,Fencing Issues,HENDRA,18
Dog,Fencing Issues,HERSTON,9
Dog,Fencing Issues,HIGHGATE HILL,18
Dog,Fencing Issues,HOLLAND PARK,41
Dog,Fencing Issues,HOLLAND PARK WEST,22
Dog,Fencing Issues,INALA,274
Dog,Fencing Issues,INDOOROOPILLY,20
Dog,Fencing Issues,JAMBOREE HEIGHTS,13
Dog,Fencing Issues,JINDALEE,13
Dog,Fencing Issues,KALINGA,8
Dog,Fencing Issues,KANGAROO POINT,7
Dog,Fencing Issues,KARANA DOWNS,38
Dog,Fencing Issues,KEDRON,40
Dog,Fencing Issues,KELVIN GROVE,11
Dog,Fencing Issues,KENMORE,34
Dog,Fencing Issues,KENMORE HILLS,13
Dog,Fencing Issues,KEPERRA,78
Dog,Fencing Issues,KHOLO,3
Dog,Fencing Issues,KURABY,21
Dog,Fencing Issues,LOTA,18
Dog,Fencing Issues,LUTWYCHE,4
Dog,Fencing Issues,MACGREGOR,9
Dog,Fencing Issues,MACKENZIE,3
Dog,Fencing Issues,MANLY,20
Dog,Fencing Issues,MANLY WEST,60
Dog,Fencing Issues,MANSFIELD,41
Dog,Fencing Issues,MCDOWALL,12
Dog,Fencing Issues,MIDDLE PARK,18
Dog,Fencing Issues,MILTON,11
Dog,Fencing Issues,MITCHELTON,54
Dog,Fencing Issues,MOGGILL,17
Dog,Fencing Issues,MOOROOKA,51
Dog,Fencing Issues,MORNINGSIDE,45
Dog,Fencing Issues,MOUNT COOT-THA,2
Dog,Fencing Issues,MOUNT CROSBY,18
Dog,Fencing Issues,MOUNT GRAVATT,16
Dog,Fencing Issues,MOUNT GRAVATT EAST,74
Dog,Fencing Issues,MOUNT OMMANEY,1
Dog,Fencing Issues,MURARRIE,30
Dog,Fencing Issues,"NATHAN",1
Dog,Fencing Issues,NEW FARM,23
Dog,Fencing Issues,NEWMARKET,12
Dog,Fencing Issues,NEWSTEAD,1
Dog,Fencing Issues,NORMAN PARK,38
Dog,Fencing Issues,NORTHGATE,18
Dog,Fencing Issues,NUDGEE,29
Dog,Fencing Issues,NUDGEE BEACH,2
Dog,Fencing Issues,NUNDAH,39
Dog,Fencing Issues,OXLEY,42
Dog,Fencing Issues,PADDINGTON,20
Dog,Fencing Issues,PALLARA,22
Dog,Fencing Issues,PARKINSON,22
Dog,Fencing Issues,PINJARRA HILLS,8
Dog,Fencing Issues,PINKENBA,7
Dog,Fencing Issues,PULLENVALE,24
Dog,Fencing Issues,RANSOME,3
Dog,Fencing Issues,RED HILL,12
Dog,Fencing Issues,RICHLANDS,7
Dog,Fencing Issues,RIVERHILLS,23
Dog,Fencing Issues,ROBERTSON,14
Dog,Fencing Issues,ROCHEDALE,23
Dog,Fencing Issues,ROCKLEA,28
Dog,Fencing Issues,RUNCORN,33
Dog,Fencing Issues,SALISBURY,51
Dog,Fencing Issues,SANDGATE,46
Dog,Fencing Issues,SEVEN HILLS,15
Dog,Fencing Issues,SEVENTEEN MILE ROCKS,12
Dog,Fencing Issues,SHERWOOD,12
Dog,Fencing Issues,SHORNCLIFFE,3
Dog,Fencing Issues,SINNAMON PARK,10
Dog,Fencing Issues,SOUTH BRISBANE,1
Dog,Fencing Issues,SPRING HILL,15
Dog,Fencing Issues,ST LUCIA,7
Dog,Fencing Issues,STAFFORD,114
Dog,Fencing Issues,STAFFORD HEIGHTS,65
Dog,Fencing Issues,STONES CORNER,1
Dog,Fencing Issues,STRETTON,19
Dog,Fencing Issues,SUMNER,1
Dog,Fencing Issues,SUNNYBANK,29
Dog,Fencing Issues,SUNNYBANK HILLS,66
Dog,Fencing Issues,TAIGUM,9
Dog,Fencing Issues,TARINGA,15
Dog,Fencing Issues,TARRAGINDI,54
Dog,Fencing Issues,TENERIFFE,2
Dog,Fencing Issues,TENNYSON,1
Dog,Fencing Issues,THE GAP,64
Dog,Fencing Issues,TINGALPA,51
Dog,Fencing Issues,TOOWONG,38
Dog,Fencing Issues,UPPER BROOKFIELD,7
Dog,Fencing Issues,UPPER KEDRON,29
Dog,Fencing Issues,UPPER MOUNT GRAVATT,64
Dog,Fencing Issues,VIRGINIA,9
Dog,Fencing Issues,WACOL,13
Dog,Fencing Issues,WAKERLEY,15
Dog,Fencing Issues,WAVELL HEIGHTS,69
Dog,Fencing Issues,WEST END,18
Dog,Fencing Issues,WESTLAKE,18
Dog,Fencing Issues,WILLAWONG,1
Dog,Fencing Issues,WILSTON,8
Dog,Fencing Issues,WINDSOR,63
Dog,Fencing Issues,WISHART,19
Dog,Fencing Issues,WOOLLOONGABBA,21
Dog,Fencing Issues,WOOLOOWIN,13
Dog,Fencing Issues,WYNNUM,109
Dog,Fencing Issues,WYNNUM WEST,72
Dog,Fencing Issues,YEERONGPILLY,5
Dog,Fencing Issues,YERONGA,39
Dog,Fencing Issues,ZILLMERE,119
Dog,Fencing Issues,NA,20
Dog,Fox,ACACIA RIDGE,5
Dog,Fox,ALBION,1
Dog,Fox,ALDERLEY,3
Dog,Fox,ALGESTER,2
Dog,Fox,ANNERLEY,4
Dog,Fox,ANSTEAD,1
Dog,Fox,ASCOT,5
Dog,Fox,ASHGROVE,7
Dog,Fox,ASPLEY,7
Dog,Fox,AUCHENFLOWER,2
Dog,Fox,BALD HILLS,5
Dog,Fox,BALMORAL,4
Dog,Fox,BANYO,6
Dog,Fox,BARDON,17
Dog,Fox,BELLBOWRIE,3
Dog,Fox,BELMONT,1
Dog,Fox,BOONDALL,5
Dog,Fox,BRACKEN RIDGE,12
Dog,Fox,BRIDGEMAN DOWNS,6
Dog,Fox,BRIGHTON,10
Dog,Fox,BRISBANE CITY,2
Dog,Fox,BROOKFIELD,2
Dog,Fox,BULIMBA,8
Dog,Fox,CALAMVALE,7
Dog,Fox,CAMP HILL,13
Dog,Fox,CANNON HILL,1
Dog,Fox,CARINA,10
Dog,Fox,CARINA HEIGHTS,1
Dog,Fox,CARINDALE,15
Dog,Fox,CARSELDINE,3
Dog,Fox,CHANDLER,1
Dog,Fox,CHAPEL HILL,6
Dog,Fox,CHELMER,3
Dog,Fox,CHERMSIDE,9
Dog,Fox,CHERMSIDE WEST,4
Dog,Fox,CLAYFIELD,1
Dog,Fox,COOPERS PLAINS,3
Dog,Fox,COORPAROO,14
Dog,Fox,CORINDA,1
Dog,Fox,DARRA,5
Dog,Fox,DEAGON,3
Dog,Fox,DOOLANDELLA,3
Dog,Fox,DURACK,3
Dog,Fox,DUTTON PARK,4
Dog,Fox,EAST BRISBANE,2
Dog,Fox,EIGHT MILE PLAINS,4
Dog,Fox,ELLEN GROVE,10
Dog,Fox,ENOGGERA,2
Dog,Fox,EVERTON PARK,4
Dog,Fox,FAIRFIELD,5
Dog,Fox,FERNY GROVE,2
Dog,Fox,FIG TREE POCKET,5
Dog,Fox,FITZGIBBON,3
Dog,Fox,FOREST LAKE,16
Dog,Fox,FORTITUDE VALLEY,2
Dog,Fox,GAYTHORNE,2
Dog,Fox,GEEBUNG,5
Dog,Fox,GORDON PARK,2
Dog,Fox,GRACEVILLE,4
Dog,Fox,GRANGE,4
Dog,Fox,GREENSLOPES,5
Dog,Fox,GUMDALE,1
Dog,Fox,HAMILTON,2
Dog,Fox,HAWTHORNE,1
Dog,Fox,HEATHWOOD,1
Dog,Fox,HEMMANT,10
Dog,Fox,HENDRA,8
Dog,Fox,HIGHGATE HILL,7
Dog,Fox,HOLLAND PARK,6
Dog,Fox,HOLLAND PARK WEST,3
Dog,Fox,INALA,20
Dog,Fox,INDOOROOPILLY,4
Dog,Fox,JAMBOREE HEIGHTS,1
Dog,Fox,JINDALEE,5
Dog,Fox,KALINGA,3
Dog,Fox,KANGAROO POINT,9
Dog,Fox,KARANA DOWNS,3
Dog,Fox,KEDRON,6
Dog,Fox,KELVIN GROVE,2
Dog,Fox,KENMORE,3
Dog,Fox,KENMORE HILLS,1
Dog,Fox,KEPERRA,17
Dog,Fox,KURABY,1
Dog,Fox,LOTA,10
Dog,Fox,MACGREGOR,4
Dog,Fox,MANLY,7
Dog,Fox,MANLY WEST,6
Dog,Fox,MANSFIELD,6
Dog,Fox,MIDDLE PARK,1
Dog,Fox,MILTON,5
Dog,Fox,MITCHELTON,5
Dog,Fox,MOGGILL,1
Dog,Fox,MOOROOKA,12
Dog,Fox,MORNINGSIDE,5
Dog,Fox,MOUNT COOT-THA,3
Dog,Fox,MOUNT GRAVATT,3
Dog,Fox,MOUNT GRAVATT EAST,8
Dog,Fox,MOUNT OMMANEY,1
Dog,Fox,MURARRIE,4
Dog,Fox,"NATHAN",6
Dog,Fox,NEW FARM,8
Dog,Fox,NEWMARKET,1
Dog,Fox,NEWSTEAD,4
Dog,Fox,NORMAN PARK,7
Dog,Fox,NORTHGATE,3
Dog,Fox,NUDGEE,5
Dog,Fox,NUDGEE BEACH,2
Dog,Fox,NUNDAH,7
Dog,Fox,OXLEY,1
Dog,Fox,PADDINGTON,3
Dog,Fox,PALLARA,2
Dog,Fox,PARKINSON,7
Dog,Fox,PINKENBA,2
Dog,Fox,PULLENVALE,2
Dog,Fox,RANSOME,1
Dog,Fox,RED HILL,4
Dog,Fox,RIVERHILLS,4
Dog,Fox,ROBERTSON,3
Dog,Fox,ROCHEDALE,2
Dog,Fox,ROCKLEA,5
Dog,Fox,RUNCORN,7
Dog,Fox,SALISBURY,6
Dog,Fox,SANDGATE,15
Dog,Fox,SEVENTEEN MILE ROCKS,2
Dog,Fox,SHERWOOD,7
Dog,Fox,SHORNCLIFFE,1
Dog,Fox,SINNAMON PARK,1
Dog,Fox,ST LUCIA,3
Dog,Fox,STAFFORD,8
Dog,Fox,STAFFORD HEIGHTS,4
Dog,Fox,STRETTON,3
Dog,Fox,SUMNER,2
Dog,Fox,SUNNYBANK,8
Dog,Fox,SUNNYBANK HILLS,6
Dog,Fox,TAIGUM,2
Dog,Fox,TARINGA,3
Dog,Fox,TARRAGINDI,6
Dog,Fox,TENERIFFE,3
Dog,Fox,THE GAP,7
Dog,Fox,TINGALPA,10
Dog,Fox,TOOWONG,6
Dog,Fox,UPPER BROOKFIELD,3
Dog,Fox,UPPER KEDRON,5
Dog,Fox,UPPER MOUNT GRAVATT,6
Dog,Fox,VIRGINIA,2
Dog,Fox,WACOL,1
Dog,Fox,WAKERLEY,2
Dog,Fox,WAVELL HEIGHTS,7
Dog,Fox,WEST END,16
Dog,Fox,WESTLAKE,2
Dog,Fox,WINDSOR,3
Dog,Fox,WISHART,1
Dog,Fox,WOOLLOONGABBA,2
Dog,Fox,WOOLOOWIN,1
Dog,Fox,WYNNUM,12
Dog,Fox,WYNNUM WEST,2
Dog,Fox,YEERONGPILLY,1
Dog,Fox,YERONGA,8
Dog,Fox,ZILLMERE,7
Dog,Fox,NA,24
Dog,Insufficient Space,ALDERLEY,1
Dog,Insufficient Space,ANSTEAD,1
Dog,Insufficient Space,BOONDALL,1
Dog,Insufficient Space,BRIGHTON,1
Dog,Insufficient Space,BROOKFIELD,1
Dog,Insufficient Space,CALAMVALE,1
Dog,Insufficient Space,CARINA,1
Dog,Insufficient Space,CARSELDINE,1
Dog,Insufficient Space,CHERMSIDE,1
Dog,Insufficient Space,CHERMSIDE WEST,1
Dog,Insufficient Space,DEAGON,1
Dog,Insufficient Space,FERNY GROVE,1
Dog,Insufficient Space,GORDON PARK,5
Dog,Insufficient Space,GRACEVILLE,2
Dog,Insufficient Space,INALA,1
Dog,Insufficient Space,JINDALEE,1
Dog,Insufficient Space,KARANA DOWNS,1
Dog,Insufficient Space,KEDRON,1
Dog,Insufficient Space,MOOROOKA,1
Dog,Insufficient Space,MOUNT GRAVATT EAST,2
Dog,Insufficient Space,NEWMARKET,1
Dog,Insufficient Space,NUDGEE BEACH,1
Dog,Insufficient Space,PADDINGTON,1
Dog,Insufficient Space,RED HILL,1
Dog,Insufficient Space,SALISBURY,1
Dog,Insufficient Space,SANDGATE,3
Dog,Insufficient Space,STAFFORD,1
Dog,Insufficient Space,STAFFORD HEIGHTS,1
Dog,Insufficient Space,THE GAP,1
Dog,Insufficient Space,WACOL,1
Dog,Insufficient Space,WAVELL HEIGHTS,1
Dog,Insufficient Space,WEST END,3
Dog,Insufficient Space,WYNNUM,1
Dog,Insufficient Space,WYNNUM WEST,1
Dog,Insufficient Space,YERONGA,1
Dog,Insufficient Space,ZILLMERE,1
Dog,Insufficient Space,NA,4
Dog,Nuisance Animal,UPPER BROOKFIELD,1
Dog,Odour,ACACIA RIDGE,1
Dog,Odour,ALGESTER,2
Dog,Odour,ANNERLEY,1
Dog,Odour,ASCOT,2
Dog,Odour,ASHGROVE,1
Dog,Odour,ASPLEY,2
Dog,Odour,AUCHENFLOWER,1
Dog,Odour,BALD HILLS,1
Dog,Odour,BALMORAL,2
Dog,Odour,BANYO,8
Dog,Odour,BARDON,2
Dog,Odour,BELMONT,3
Dog,Odour,BOONDALL,5
Dog,Odour,BRACKEN RIDGE,6
Dog,Odour,BRIGHTON,2
Dog,Odour,BULIMBA,5
Dog,Odour,CALAMVALE,4
Dog,Odour,CAMP HILL,5
Dog,Odour,CARINA,6
Dog,Odour,CARINA HEIGHTS,1
Dog,Odour,CARINDALE,7
Dog,Odour,CARSELDINE,1
Dog,Odour,CHERMSIDE,8
Dog,Odour,CHERMSIDE WEST,5
Dog,Odour,CLAYFIELD,1
Dog,Odour,COOPERS PLAINS,3
Dog,Odour,COORPAROO,9
Dog,Odour,CORINDA,5
Dog,Odour,DARRA,3
Dog,Odour,DEAGON,2
Dog,Odour,DOOLANDELLA,5
Dog,Odour,DREWVALE,1
Dog,Odour,DUTTON PARK,5
Dog,Odour,EAST BRISBANE,1
Dog,Odour,EIGHT MILE PLAINS,4
Dog,Odour,ELLEN GROVE,2
Dog,Odour,ENOGGERA,4
Dog,Odour,EVERTON PARK,5
Dog,Odour,FAIRFIELD,2
Dog,Odour,FITZGIBBON,6
Dog,Odour,FOREST LAKE,8
Dog,Odour,FORTITUDE VALLEY,1
Dog,Odour,GAYTHORNE,3
Dog,Odour,GEEBUNG,1
Dog,Odour,GORDON PARK,4
Dog,Odour,GRACEVILLE,1
Dog,Odour,GRANGE,4
Dog,Odour,GUMDALE,1
Dog,Odour,HAMILTON,1
Dog,Odour,HAWTHORNE,4
Dog,Odour,HEATHWOOD,4
Dog,Odour,HEMMANT,1
Dog,Odour,HENDRA,1
Dog,Odour,HIGHGATE HILL,5
Dog,Odour,HOLLAND PARK,3
Dog,Odour,INALA,15
Dog,Odour,INDOOROOPILLY,3
Dog,Odour,KANGAROO POINT,2
Dog,Odour,KEDRON,8
Dog,Odour,KELVIN GROVE,2
Dog,Odour,KEPERRA,4
Dog,Odour,KURABY,1
Dog,Odour,LOTA,3
Dog,Odour,LUTWYCHE,3
Dog,Odour,MACGREGOR,1
Dog,Odour,MANLY,2
Dog,Odour,MANLY WEST,7
Dog,Odour,MANSFIELD,5
Dog,Odour,MCDOWALL,1
Dog,Odour,MIDDLE PARK,2
Dog,Odour,MITCHELTON,2
Dog,Odour,MOOROOKA,2
Dog,Odour,MORNINGSIDE,15
Dog,Odour,MOUNT GRAVATT EAST,10
Dog,Odour,MURARRIE,3
Dog,Odour,"NATHAN",1
Dog,Odour,NEW FARM,2
Dog,Odour,NEWMARKET,5
Dog,Odour,NORMAN PARK,5
Dog,Odour,NORTHGATE,2
Dog,Odour,NUNDAH,5
Dog,Odour,OXLEY,3
Dog,Odour,PADDINGTON,3
Dog,Odour,PALLARA,1
Dog,Odour,PARKINSON,5
Dog,Odour,RED HILL,1
Dog,Odour,ROBERTSON,1
Dog,Odour,ROCHEDALE,5
Dog,Odour,ROCKLEA,1
Dog,Odour,RUNCORN,5
Dog,Odour,SANDGATE,1
Dog,Odour,SEVEN HILLS,1
Dog,Odour,SEVENTEEN MILE ROCKS,3
Dog,Odour,SHORNCLIFFE,1
Dog,Odour,ST LUCIA,1
Dog,Odour,STAFFORD HEIGHTS,1
Dog,Odour,STONES CORNER,1
Dog,Odour,STRETTON,1
Dog,Odour,SUNNYBANK,2
Dog,Odour,SUNNYBANK HILLS,6
Dog,Odour,TAIGUM,1
Dog,Odour,TARINGA,2
Dog,Odour,TARRAGINDI,1
Dog,Odour,TENERIFFE,2
Dog,Odour,THE GAP,1
Dog,Odour,TOOWONG,7
Dog,Odour,UPPER KEDRON,4
Dog,Odour,UPPER MOUNT GRAVATT,6
Dog,Odour,WAKERLEY,1
Dog,Odour,WAVELL HEIGHTS,8
Dog,Odour,WEST END,4
Dog,Odour,WESTLAKE,1
Dog,Odour,WINDSOR,1
Dog,Odour,WISHART,1
Dog,Odour,WOOLLOONGABBA,2
Dog,Odour,WYNNUM,10
Dog,Odour,WYNNUM WEST,7
Dog,Odour,YERONGA,4
Dog,Odour,ZILLMERE,4
Dog,Odour,NA,1
Dog,Surrender,BOONDALL,1
Dog,Surrender,CALAMVALE,2
Dog,Surrender,FERNY GROVE,2
Dog,Surrender,FIG TREE POCKET,1
Dog,Surrender,HENDRA,1
Dog,Surrender,INALA,4
Dog,Surrender,MOUNT GRAVATT EAST,1
Dog,Surrender,PINKENBA,1
Dog,Surrender,STAFFORD,1
Dog,Surrender,WACOL,1
Dog,Too Many Animals,ACACIA RIDGE,13
Dog,Too Many Animals,ALBION,6
Dog,Too Many Animals,ALDERLEY,1
Dog,Too Many Animals,ALGESTER,6
Dog,Too Many Animals,ANNERLEY,2
Dog,Too Many Animals,ANSTEAD,6
Dog,Too Many Animals,ASCOT,4
Dog,Too Many Animals,ASHGROVE,7
Dog,Too Many Animals,ASPLEY,9
Dog,Too Many Animals,AUCHENFLOWER,2
Dog,Too Many Animals,BALD HILLS,15
Dog,Too Many Animals,BANYO,12
Dog,Too Many Animals,BARDON,3
Dog,Too Many Animals,BELLBOWRIE,3
Dog,Too Many Animals,BOONDALL,14
Dog,Too Many Animals,BOWEN HILLS,1
Dog,Too Many Animals,BRACKEN RIDGE,22
Dog,Too Many Animals,BRIDGEMAN DOWNS,4
Dog,Too Many Animals,BRIGHTON,11
Dog,Too Many Animals,BRISBANE CITY,1
Dog,Too Many Animals,BROOKFIELD,1
Dog,Too Many Animals,BULIMBA,8
Dog,Too Many Animals,BURBANK,1
Dog,Too Many Animals,CALAMVALE,5
Dog,Too Many Animals,CAMP HILL,7
Dog,Too Many Animals,CANNON HILL,1
Dog,Too Many Animals,CARINA,5
Dog,Too Many Animals,CARINA HEIGHTS,8
Dog,Too Many Animals,CARINDALE,8
Dog,Too Many Animals,CARSELDINE,1
Dog,Too Many Animals,CHAPEL HILL,7
Dog,Too Many Animals,CHELMER,1
Dog,Too Many Animals,CHERMSIDE,12
Dog,Too Many Animals,CHERMSIDE WEST,4
Dog,Too Many Animals,CLAYFIELD,3
Dog,Too Many Animals,COOPERS PLAINS,2
Dog,Too Many Animals,COORPAROO,7
Dog,Too Many Animals,CORINDA,3
Dog,Too Many Animals,DARRA,8
Dog,Too Many Animals,DEAGON,2
Dog,Too Many Animals,DOOLANDELLA,1
Dog,Too Many Animals,DREWVALE,4
Dog,Too Many Animals,DURACK,13
Dog,Too Many Animals,DUTTON PARK,4
Dog,Too Many Animals,EAST BRISBANE,3
Dog,Too Many Animals,EIGHT MILE PLAINS,9
Dog,Too Many Animals,ELLEN GROVE,32
Dog,Too Many Animals,ENOGGERA,1
Dog,Too Many Animals,EVERTON PARK,9
Dog,Too Many Animals,FAIRFIELD,5
Dog,Too Many Animals,FERNY GROVE,3
Dog,Too Many Animals,FIG TREE POCKET,6
Dog,Too Many Animals,FITZGIBBON,3
Dog,Too Many Animals,FOREST LAKE,13
Dog,Too Many Animals,GEEBUNG,12
Dog,Too Many Animals,GORDON PARK,8
Dog,Too Many Animals,GRACEVILLE,1
Dog,Too Many Animals,GRANGE,2
Dog,Too Many Animals,GREENSLOPES,2
Dog,Too Many Animals,GUMDALE,1
Dog,Too Many Animals,HAWTHORNE,4
Dog,Too Many Animals,HEMMANT,7
Dog,Too Many Animals,HENDRA,10
Dog,Too Many Animals,HOLLAND PARK,12
Dog,Too Many Animals,HOLLAND PARK WEST,10
Dog,Too Many Animals,INALA,23
Dog,Too Many Animals,INDOOROOPILLY,3
Dog,Too Many Animals,JAMBOREE HEIGHTS,4
Dog,Too Many Animals,JINDALEE,1
Dog,Too Many Animals,KALINGA,3
Dog,Too Many Animals,KANGAROO POINT,6
Dog,Too Many Animals,KARANA DOWNS,3
Dog,Too Many Animals,KEDRON,14
Dog,Too Many Animals,KELVIN GROVE,2
Dog,Too Many Animals,KENMORE,3
Dog,Too Many Animals,KEPERRA,26
Dog,Too Many Animals,KHOLO,2
Dog,Too Many Animals,KURABY,2
Dog,Too Many Animals,LOTA,18
Dog,Too Many Animals,LUTWYCHE,10
Dog,Too Many Animals,MACGREGOR,4
Dog,Too Many Animals,MANLY,2
Dog,Too Many Animals,MANLY WEST,12
Dog,Too Many Animals,MANSFIELD,4
Dog,Too Many Animals,MCDOWALL,5
Dog,Too Many Animals,MILTON,1
Dog,Too Many Animals,MITCHELTON,9
Dog,Too Many Animals,MOGGILL,6
Dog,Too Many Animals,MOOROOKA,7
